ds,y
01-09-1989,13.32
08-09-1989,13.58
15-09-1989,13.97
22-09-1989,14.61
29-09-1989,14.88
06-10-1989,13.3
13-10-1989,14.04
20-10-1989,14.1
27-10-1989,14.03
03-11-1989,14.15
10-11-1989,14.78
17-11-1989,14.8
24-11-1989,15
01-12-1989,14.06
08-12-1989,13.8
15-12-1989,13.93
22-12-1989,13.25
29-12-1989,12.45
05-01-1990,14.16
12-01-1990,14.56
19-01-1990,14.26
26-01-1990,14.86
02-02-1990,14.81
09-02-1990,15.12
16-02-1990,14.78
23-02-1990,14.46
02-03-1990,14.47
09-03-1990,15.75
16-03-1990,16.13
23-03-1990,15.54
30-03-1990,15.69
06-04-1990,15.16
13-04-1990,15.35
20-04-1990,15.28
27-04-1990,15.96
04-05-1990,14.44
11-05-1990,14.88
18-05-1990,14.3
25-05-1990,14.69
01-06-1990,13.29
08-06-1990,13.42
15-06-1990,12.67
22-06-1990,12.49
29-06-1990,12.99
06-07-1990,12.59
13-07-1990,12.14
20-07-1990,11.53
27-07-1990,11.38
03-08-1990,9.9
10-08-1990,10.49
17-08-1990,11.4
24-08-1990,11.67
31-08-1990,10.33
07-09-1990,11.16
14-09-1990,10.98
21-09-1990,10.9
28-09-1990,9.78
05-10-1990,9.94
12-10-1990,9.63
19-10-1990,9.66
26-10-1990,9.33
02-11-1990,9.71
09-11-1990,10.17
16-11-1990,10.07
23-11-1990,9.83
30-11-1990,9.82
07-12-1990,9.6
14-12-1990,9.67
21-12-1990,9.67
28-12-1990,9.37
04-01-1991,9.2
11-01-1991,9.14
18-01-1991,8.99
25-01-1991,8.92
01-02-1991,9
08-02-1991,8.54
15-02-1991,8.41
22-02-1991,8.23
01-03-1991,9.18
08-03-1991,9.3
15-03-1991,9.07
22-03-1991,9.07
29-03-1991,8.9
05-04-1991,8.98
12-04-1991,8.71
19-04-1991,7.9
26-04-1991,8.29
03-05-1991,7.8
10-05-1991,7.63
17-05-1991,7.85
24-05-1991,8.1
31-05-1991,8.05
07-06-1991,8.73
14-06-1991,9.24
21-06-1991,9.88
28-06-1991,10.7
05-07-1991,8.61
12-07-1991,9.24
19-07-1991,9.18
26-07-1991,9.33
02-08-1991,9.59
09-08-1991,8.68
16-08-1991,8.32
23-08-1991,8.62
30-08-1991,8.83
06-09-1991,9.2
13-09-1991,8.91
20-09-1991,8.93
27-09-1991,9.59
04-10-1991,8.66
11-10-1991,8.48
18-10-1991,8.65
25-10-1991,8.69
01-11-1991,8.95
08-11-1991,8.65
15-11-1991,8.32
22-11-1991,8.63
29-11-1991,8.92
06-12-1991,8.83
13-12-1991,8.61
20-12-1991,8.88
27-12-1991,9
03-01-1992,8.4
10-01-1992,8.56
17-01-1992,8.59
24-01-1992,8.63
31-01-1992,8.18
07-02-1992,8.18
14-02-1992,8.02
21-02-1992,8.15
28-02-1992,7.86
06-03-1992,8.12
13-03-1992,8.31
20-03-1992,8.44
27-03-1992,8.38
03-04-1992,9.18
10-04-1992,9.56
17-04-1992,9.59
24-04-1992,9.99
01-05-1992,9.45
08-05-1992,9.67
15-05-1992,9.65
22-05-1992,9.47
29-05-1992,10.03
05-06-1992,10.23
12-06-1992,10.27
19-06-1992,10.76
26-06-1992,10.99
03-07-1992,9.3
10-07-1992,9.41
17-07-1992,10.28
24-07-1992,9.92
31-07-1992,9.51
07-08-1992,9.6
14-08-1992,9.46
21-08-1992,8.81
28-08-1992,9.15
04-09-1992,9.13
11-09-1992,9.6
18-09-1992,9.1
25-09-1992,8.75
02-10-1992,8.88
09-10-1992,8.66
16-10-1992,8.87
23-10-1992,8.71
30-10-1992,8.77
06-11-1992,8.79
13-11-1992,8.73
20-11-1992,8.62
27-11-1992,8.43
04-12-1992,8.37
11-12-1992,8.3
18-12-1992,8.3
25-12-1992,8.21
01-01-1993,8.41
08-01-1993,8.6
15-01-1993,8.57
22-01-1993,8.45
29-01-1993,8.3
05-02-1993,8.1
12-02-1993,8.48
19-02-1993,9
26-02-1993,9.63
05-03-1993,10.09
12-03-1993,10.55
19-03-1993,12.18
26-03-1993,11.85
02-04-1993,12.24
09-04-1993,11.03
16-04-1993,10.7
23-04-1993,12
30-04-1993,12.33
07-05-1993,12.28
14-05-1993,13.19
21-05-1993,12.36
28-05-1993,10.76
04-06-1993,10.96
11-06-1993,11.06
18-06-1993,10.05
25-06-1993,9.98
02-07-1993,10.64
09-07-1993,10.25
16-07-1993,9.8
23-07-1993,9.6
30-07-1993,9.36
06-08-1993,10.04
13-08-1993,9.37
20-08-1993,9.12
27-08-1993,9.15
03-09-1993,9.11
10-09-1993,9.39
17-09-1993,9.98
24-09-1993,9.73
01-10-1993,10.83
08-10-1993,10.73
15-10-1993,10.63
22-10-1993,10.53
29-10-1993,10.62
05-11-1993,10.74
12-11-1993,9.99
19-11-1993,10.35
26-11-1993,10.33
03-12-1993,10.73
10-12-1993,10.77
17-12-1993,10.69
24-12-1993,10.65
31-12-1993,10.77
07-01-1994,10.58
14-01-1994,10.66
21-01-1994,10.39
28-01-1994,10.47
04-02-1994,11.12
11-02-1994,11.03
18-02-1994,11.11
25-02-1994,11.14
04-03-1994,11.9
11-03-1994,12.28
18-03-1994,12.11
25-03-1994,12.19
01-04-1994,11.96
08-04-1994,11.2
15-04-1994,10.97
22-04-1994,11.66
29-04-1994,11.29
06-05-1994,11.72
13-05-1994,11.98
20-05-1994,11.91
27-05-1994,11.79
03-06-1994,12.09
10-06-1994,12.44
17-06-1994,12.36
24-06-1994,12.14
01-07-1994,11.86
08-07-1994,11.32
15-07-1994,12.05
22-07-1994,11.86
29-07-1994,11.68
05-08-1994,11.88
12-08-1994,11.9
19-08-1994,12.18
26-08-1994,11.96
02-09-1994,12.04
09-09-1994,12.26
16-09-1994,12.65
23-09-1994,12.53
30-09-1994,12.61
07-10-1994,12.47
14-10-1994,12.57
21-10-1994,12.7
28-10-1994,12.83
04-11-1994,13.19
11-11-1994,13.64
18-11-1994,13.8
25-11-1994,14.49
02-12-1994,14.29
09-12-1994,14.33
16-12-1994,15.13
23-12-1994,15.02
30-12-1994,15.17
06-01-1995,15.74
13-01-1995,14.26
20-01-1995,15.13
27-01-1995,14.37
03-02-1995,14.35
10-02-1995,14.25
17-02-1995,14.8
24-02-1995,15.05
03-03-1995,14.59
10-03-1995,14.39
17-03-1995,13.89
24-03-1995,14.18
31-03-1995,14.28
07-04-1995,14.01
14-04-1995,12.65
21-04-1995,13.24
28-04-1995,13.35
05-05-1995,11.71
12-05-1995,11.47
19-05-1995,11.61
26-05-1995,11.4
02-06-1995,11.43
09-06-1995,11.93
16-06-1995,11.66
23-06-1995,12.62
30-06-1995,12.03
07-07-1995,10.25
14-07-1995,9.69
21-07-1995,10.25
28-07-1995,10.65
04-08-1995,10.7
11-08-1995,11.14
18-08-1995,11.45
25-08-1995,11.3
01-09-1995,10.97
08-09-1995,10.86
15-09-1995,10.75
22-09-1995,11.23
29-09-1995,11.29
06-10-1995,10.47
13-10-1995,10.62
20-10-1995,10.67
27-10-1995,10.53
03-11-1995,10.77
10-11-1995,10.64
17-11-1995,10.84
24-11-1995,10.86
01-12-1995,11.3
08-12-1995,11.44
15-12-1995,11.43
22-12-1995,11.58
29-12-1995,11.6
05-01-1996,11.89
12-01-1996,11.79
19-01-1996,11.49
26-01-1996,12.19
02-02-1996,12.04
09-02-1996,12.01
16-02-1996,12.66
23-02-1996,12.61
01-03-1996,11.65
08-03-1996,11.7
15-03-1996,12.17
22-03-1996,12.25
29-03-1996,11.79
05-04-1996,11.89
12-04-1996,11.62
19-04-1996,11.09
26-04-1996,10.54
03-05-1996,10.51
10-05-1996,10.76
